#,Name,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Type 1,Type 2,Img Link,Descrição,Descrição Pt-Br
300,Skitty,260,50,45,45,35,35,50,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/52d8028278c9f61be39821b39ecb0e5fdaf437fa.png,Skitty has the habit of becoming fascinated by moving objectsand chasing them around. This Pokémon is known to chaseafter its own tail and become dizzy.,Skitty tem o hábito de ficar fascinado por objetos em movimento e persegui-los. Este Pokémon é conhecido por perseguir a própria cauda e ficar tonto.
301,Delcatty,400,70,65,65,55,55,90,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/2e210c674cc59abdcfef8561d4008bf6a0714746.png,"Delcatty prefers to live an unfettered existence in which it cando as it pleases at its own pace. Because this Pokémon eatsand sleeps whenever it decides, its daily routines arecompletely random.","Delcatty prefere viver uma existência livre, na qual possa fazer o que quiser, no seu próprio ritmo. Como esse Pokémon come e dorme quando quer, suas rotinas diárias são completamente aleatórias."
302,Sableye,380,50,75,75,65,65,50,Dark,Ghost,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/fa0be236a62823ea2f16dfe75b68dd597cf316ad.png,It dwells in the darkness of caves. It uses its sharp claws to dig up gems to nourish itself.,Ele mora na escuridão das cavernas. Ele usa suas garras afiadas para desenterrar pedras preciosas para se alimentar.
302,Mega Sableye,480,50,85,125,85,115,20,Dark,Ghost,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/fea5532d8b4234333ba7bfe578b33cdec5001bec.png,"Bathed in the energy of Mega Evolution, the gemstone on its chest expands, rips through its skin, and falls out.","Banhada pela energia da Mega Evolução, a pedra preciosa em seu peito se expande, rasga sua pele e cai."
303,Mawile,380,50,85,85,55,55,50,Steel,Fairy,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/889dc12582d38d6858844fc6820fc5663b6c11c4.png,"It uses its docile-looking face to lull foes into complacency, then bites with its huge, relentless jaws.",Ele usa seu rosto de aparência dócil para acalmar os inimigos e depois morde com suas mandíbulas enormes e implacáveis.
303,Mega Mawile,480,50,105,125,55,95,50,Steel,Fairy,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/69755ea32b9ecc1e2a2cba1dc44326659586e1b9.png,It has an extremely vicious disposition. It grips prey in its two sets of jaws and tears them apart with raw power.,Tem uma disposição extremamente cruel. Ele agarra a presa com seus dois conjuntos de mandíbulas e as despedaça com força bruta.
304,Aron,330,50,70,100,40,40,30,Steel,Rock,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/ff57836104f21864d9c6b73460292e4ebbdd1950.png,"This Pokémon has a body of steel. To make its body, Aronfeeds on iron ore that it digs from mountains. Occasionally, it causes major trouble by eating bridges and rails.","Este Pokémon tem um corpo de aço. Para fazer seu corpo, Aron se alimenta de minério de ferro que extrai das montanhas. Ocasionalmente, causa grandes problemas ao comer pontes e trilhos."
305,Lairon,430,60,90,140,50,50,40,Steel,Rock,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/35cc921be4c5981676eaadfb35236eb59afe7160.png,Lairon tempers its steel body by drinking highly nutritiousmineral springwater until it is bloated. This Pokémon makes itsnest close to springs of delicious water.,Lairon tempera seu corpo de aço bebendo água mineral altamente nutritiva até ficar inchado. Este Pokémon faz seu ninho perto de fontes de água deliciosa.
306,Aggron,530,70,110,180,60,60,50,Steel,Rock,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/c83c6d2b5959dcaa2c83f8d55613b4cabd2d7361.png,Aggron claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This Pokémon vigilantly patrols its territory at all times.,Aggron reivindica uma montanha inteira como seu próprio território. Ele bate impiedosamente em qualquer coisa que viole seu ambiente. Este Pokémon patrulha vigilantemente seu território o tempo todo.
306,Mega Aggron,630,70,140,230,60,80,50,Steel,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/2fd918550c8824bdfe9fd6b7340f65df6f829b8e.png,Aggron claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This Pokémon vigilantly patrols its territory at all times.,Aggron reivindica uma montanha inteira como seu próprio território. Ele bate impiedosamente em qualquer coisa que viole seu ambiente. Este Pokémon patrulha vigilantemente seu território o tempo todo.
307,Meditite,280,30,40,55,40,55,60,Fighting,Psychic,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/3e18d8d058e1e401c5863d031a63778ff7fad255.png,It never skips its daily yoga training. It heightens its inner strength through meditation.,Ele nunca pula seu treinamento diário de ioga. Aumenta sua força interior através da meditação.
308,Medicham,410,60,60,75,60,75,80,Fighting,Psychic,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/22277aef9f552d52589f1485cbb139ffc6754030.png,"Through yoga training, it gained the psychic power to predict its foe’s next move.","Através do treino de yoga, ganhou o poder psíquico para prever o próximo movimento do seu inimigo."
308,Mega Medicham,510,60,100,85,80,85,100,Fighting,Psychic,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/f19522bf47fb624223db96496064f5326e986763.png,"It is said that through meditation, Medicham heightens energyinside its body and sharpens its sixth sense. This Pokémonhides its presence by merging itself with fields and mountains.","Diz-se que através da meditação, Medicham aumenta a energia dentro de seu corpo e aguça seu sexto sentido. Este Pokémon esconde sua presença fundindo-se com campos e montanhas."
309,Electrike,295,40,45,40,65,40,65,Electric,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/e516fbd2badb639de2f6b4f06628c8652df0bfaf.png,It stores static electricity in its fur for discharging. It gives off sparks if a storm approaches.,Ele armazena eletricidade estática em seu pelo para descarregar. Emite faíscas se uma tempestade se aproxima.
310,Manectric,475,70,75,60,105,60,105,Electric,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/72dc1c948d1d1d1661c1f2135e5d0c084fc39ee6.png,"It stimulates its own muscles with electricity, so it can move quickly. It eases its soreness with electricity, too, so it can recover quickly as well.","Estimula seus próprios músculos com eletricidade, para que possa se mover rapidamente. Ele também alivia a dor com eletricidade, para que também possa se recuperar rapidamente."
310,Mega Manectric,575,70,75,80,135,80,135,Electric,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/fedf465b885154684cd80bd1b3a2fb6bffc0a485.png,"Mega Evolution fills its body with a tremendous amount of electricity, but it's too much for Manectric to fully control.","Mega Evolution enche seu corpo com uma quantidade enorme de eletricidade, mas é demais para Manectric controlar totalmente."
311,Plusle,405,60,50,40,85,75,95,Electric,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/f82fd557ce114e76004cbf6114660cb5908222c7.png,It cheers on partners while scattering sparks from its body. It climbs telephone poles to absorb electricity.,Ele torce pelos parceiros enquanto espalha faíscas de seu corpo. Ele sobe em postes telefônicos para absorver eletricidade.
312,Minun,405,60,40,50,75,85,95,Electric,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/317110bc394b29a1b4e783f000a3150ca54af50d.png,Exposure to electricity from Minun and Plusle promotes blood circulation and relaxes muscles.,A exposição à eletricidade de Minun e Plusle promove a circulação sanguínea e relaxa os músculos.
313,Volbeat,430,65,73,75,47,85,85,Bug,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/36e87722b0ac2cc117c7fbb61f9176cc9fefb760.png,"It lives around clean ponds. At night, its rear lights up. It converses with others by flashing its light.","Vive perto de lagoas limpas. À noite, suas luzes traseiras acendem. Ele conversa com outras pessoas piscando sua luz."
314,Illumise,430,65,47,75,73,85,85,Bug,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/6e589fd8b0a08203c0cc934f4b80735a7d23c424.png,"Illumise uses its sweet scent to guide Volbeat, having them form over 200 patterns in the night sky.","Illumise usa seu doce perfume para guiar o Volbeat, fazendo com que eles formem mais de 200 padrões no céu noturno."
315,Roselia,400,50,60,45,100,80,65,Grass,Poison,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/eb1a308886e9b0a734eb27cb2f2740c0632b56c5.png,"Its flowers give off a relaxing fragrance. The stronger its aroma, the healthier the Roselia is.","Suas flores exalam uma fragrância relaxante. Quanto mais forte for o seu aroma, mais saudável é a Roselia."
316,Gulpin,302,70,43,53,43,53,40,Poison,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/1850cb4846961e0db1adcfd58ec2b9e56f8a262a.png,"There is nothing its stomach can’t digest. While it is digesting, vile, overpowering gases are expelled.","Não há nada que seu estômago não consiga digerir. Enquanto está sendo digerido, gases vis e avassaladores são expelidos."
317,Swalot,467,100,73,83,73,83,55,Poison,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/b088de672c6d701013eae99356e28be0d34e75e7.png,It gulps anything that fits in its mouth. Its special enzymes can dissolve anything.,Ele engole tudo que cabe em sua boca. Suas enzimas especiais podem dissolver qualquer coisa.
318,Carvanha,305,45,90,20,65,20,65,Water,Dark,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/c30bd2eece3f4b999be082bfd49eb00a9b97110b.png,"They're such cowards that they won't hunt alone. When five or so of them get together, they suddenly turn ferocious!","Eles são tão covardes que não caçam sozinhos. Quando cinco ou mais deles se reúnem, de repente ficam ferozes!"
319,Sharpedo,460,70,120,40,95,40,95,Water,Dark,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/1772155ca13336ff64240c06257f1547dea9e72e.png,"People believe that carrying one of its discarded fangs will prevent mishaps at sea, so the fangs are made into accessories.","As pessoas acreditam que carregar uma de suas presas descartadas evitará acidentes no mar, por isso as presas são transformadas em acessórios."
319,Mega Sharpedo,560,70,140,70,110,65,105,Water,Dark,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/ded6e45c471e7442b60719efc241059d8ee93818.png,"The yellow patterns it bears are old scars. The energy from Mega Evolution runs through them, causing it sharp pain and suffering.","Os padrões amarelos que apresenta são cicatrizes antigas. A energia da Mega Evolução passa por eles, causando dor e sofrimento agudos."
320,Wailmer,400,130,70,35,70,35,60,Water,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/1e371b9b7d30fbb2e06b808ae490e8b2bd27477b.png,It shows off by spraying jets of seawater from the nostrils above its eyes. It eats a solid ton of Wishiwashi every day.,Ele se exibe borrifando jatos de água do mar pelas narinas acima dos olhos. Ele come uma tonelada de Wishiwashi todos os dias.
321,Wailord,500,170,90,45,90,45,60,Water,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/59f7cf285bda532a39de3040f20ef6fed6c23c6d.png,It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water.,"Às vezes, ele pode nocautear os oponentes com o choque criado ao quebrar e bater seu grande corpo na água."
322,Numel,305,60,60,40,65,45,35,Fire,Ground,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/f0ce0f0c4ab180ab790d03a0b8dceb9925ec3c9d.png,"Magma of almost 2,200 degrees Fahrenheit courses through its body. When it grows cold, the magma hardens and slows it.","Magma de quase 2.200 graus Fahrenheit percorre seu corpo. Quando esfria, o magma endurece e retarda."
323,Camerupt,460,70,100,70,105,75,40,Fire,Ground,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/6ef26ba0948b71b449df47a73da48d60e7df88bf.png,It lives in the crater of a volcano. It is well known that the humps on its back erupt every 10 years.,Vive na cratera de um vulcão. É bem sabido que as protuberâncias nas costas surgem a cada 10 anos.
323,Mega Camerupt,560,70,120,100,145,105,20,Fire,Ground,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/401b1515694c03993f751551f505a76585b7680f.png,"Camerupt has a volcano inside its body. Magma of18,000 degrees Fahrenheit courses through its body. Occasionally, the humps on this Pokémon's back erupt, spewing the superheated magma.","Camerupt tem um vulcão dentro de seu corpo. Magma de 18.000 graus Fahrenheit percorre seu corpo. Ocasionalmente, as saliências nas costas deste Pokémon explodem, expelindo o magma superaquecido."
324,Torkoal,470,70,85,140,85,70,20,Fire,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/f838f5040357a632ffd49172e050e279da79aebb.png,It burns coal inside its shell for energy. It blows out black soot if it is endangered.,Ele queima carvão dentro de sua casca para obter energia. Ele exala fuligem preta se estiver em perigo.
325,Spoink,330,60,25,35,70,80,60,Psychic,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/f344077453ed49553a75c8c6e12409e4b86d39ee.png,Spoink will die if it stops bouncing. The pearl on its head amplifies its psychic powers.,Spoink morrerá se parar de quicar. A pérola em sua cabeça amplifica seus poderes psíquicos.
326,Grumpig,470,80,45,65,90,110,80,Psychic,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/369dc25a556964d636f28054f6ea8f1555675223.png,It can perform odd dance steps to influence foes. Its style of dancing became hugely popular overseas.,Ele pode executar passos de dança estranhos para influenciar os inimigos. Seu estilo de dança tornou-se extremamente popular no exterior.
327,Spinda,360,60,60,60,60,60,60,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/6d72b2dce3e16d3c083943b05eef10b89efc2f9f.png,Its steps are shaky and stumbling. Walking for a long time makes it feel sick.,Seus passos são trêmulos e tropeçantes. Caminhar por muito tempo faz com que você se sinta mal.
328,Trapinch,290,45,100,45,45,45,10,Ground,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/eceedae11954b6e253088a94fc8d4ce5830a713a.png,This Pokémon lives in arid deserts. It patiently awaits prey inside its funnel- shaped nest.,Este Pokémon vive em desertos áridos. Ele espera pacientemente a presa dentro de seu ninho em forma de funil.
329,Vibrava,340,50,70,50,50,50,70,Ground,Dragon,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/1e28beac98bd9d52fe346f06c64b4c3d4e73148b.png,"Rather than using its underdeveloped wings for flight, it rubs them together, emitting ultrasonic waves to attack its enemies.","Em vez de usar suas asas subdesenvolvidas para voar, ele as esfrega, emitindo ondas ultrassônicas para atacar seus inimigos."
330,Flygon,520,80,100,80,80,80,100,Ground,Dragon,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/842de5935ca2e534049c2294abe164d22c253f52.png,"Known as the Desert Spirit, this Pokémon hides in the sandstorms it causes by beating its wings.","Conhecido como Desert Spirit, este Pokémon se esconde nas tempestades de areia que causa ao bater suas asas."
331,Cacnea,335,50,85,40,85,40,35,Grass,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/08c4d0bd21e0f0d9d2d99b6aeb334d658d6c7c9b.png,"It prefers harsh environments, such as deserts. It can survive for 30 days on water stored in its body.","Prefere ambientes hostis, como desertos. Ele pode sobreviver por 30 dias com água armazenada em seu corpo."
332,Cacturne,475,70,115,60,115,60,55,Grass,Dark,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/ace94f428f74aaa5381f18a67b875512307685ff.png,Packs of them follow travelers through the desert until the travelers can no longer move.,Grupos deles seguem os viajantes pelo deserto até que eles não possam mais se mover.
333,Swablu,310,45,40,60,40,75,50,Normal,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/26b9e1a44d8132826a66902935baf612a684c5c4.png,It constantly grooms its cotton-like wings. It takes a shower to clean itself if it becomes dirty.,Ele limpa constantemente suas asas parecidas com algodão. É preciso um banho para se limpar se ficar sujo.
334,Altaria,490,75,70,90,70,105,80,Dragon,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/0583f1badf583c486638ee75c63e8abcab20761a.png,"If it bonds with a person, it will gently envelop the friend with its soft wings, then hum.","Se se relacionar com uma pessoa, envolverá suavemente o amigo com suas asas macias e então cantarolará."
334,Mega Altaria,590,75,110,110,110,105,80,Dragon,Fairy,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/72bee8e3be7ff19e143a61281b1b753e4b1c6cfb.png,"Altaria dances and wheels through the sky among billowing, cotton-like clouds. By singing melodies in its crystal-clearvoice, this Pokémon makes its listeners experience dreamywonderment.","Altaria dança e gira pelo céu entre nuvens ondulantes, parecidas com algodão. Ao cantar melodias com sua voz cristalina, este Pokémon faz com que seus ouvintes experimentem uma sensação sonhadora."
335,Zangoose,458,73,115,60,60,60,90,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/0f40a89ed68c4539ee864e432980b73af7e46b7a.png,"It’s Seviper’s archrival. To threaten those it encounters, it fans out the claws on its front paws.","É o arquirrival de Seviper. Para ameaçar aqueles que encontra, ele abre as garras das patas dianteiras."
336,Seviper,458,73,100,60,100,60,65,Poison,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/30c40ba00673e1c9b979752477ad740397a6bcd7.png,It sharpens its swordlike tail on hard rocks. It hides in tall grass and strikes unwary prey with venomous fangs.,Ele afia sua cauda em forma de espada nas rochas duras. Ele se esconde na grama alta e ataca presas incautas com presas venenosas.
337,Lunatone,460,90,55,65,95,85,70,Rock,Psychic,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/1361445d102f53120406033174f81254e83c1a77.png,The phase of the moon apparently has some effect on its power. It’s active on the night of a full moon.,A fase da lua aparentemente tem algum efeito sobre o seu poder. Está ativo na noite de lua cheia.
338,Solrock,460,90,95,85,55,65,70,Rock,Psychic,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/88fa12f4bcea6b739baf4f6e5a57662360cff123.png,"When it rotates itself, it gives off light similar to the sun, thus blinding its foes.","Quando ele gira, emite uma luz semelhante à do sol, cegando assim seus inimigos."
339,Barboach,288,50,48,43,46,41,60,Water,Ground,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/9ad4f081bac9acb6cf6b865b33a3ff960efdbb34.png,"Its two whiskers provide a sensitive radar. Even in muddy waters, it can detect its prey’s location.","Seus dois bigodes fornecem um radar sensível. Mesmo em águas lamacentas, ele consegue detectar a localização de sua presa."
340,Whiscash,468,110,78,73,76,71,60,Water,Ground,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/a4dfef7af997fdd8ffec571ac370f1c9f04dc066.png,"It is extremely protective of its territory. If any foe approaches, it attacks using vicious tremors.","É extremamente protetor com seu território. Se algum inimigo se aproximar, ele ataca usando tremores violentos."
341,Corphish,308,43,80,65,50,35,35,Water,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/44c7090c460ef1724f454facf78bc1a393e5aaef.png,"It came from overseas. It is a very hardy creature that will quickly proliferate, even in polluted streams.","Veio do exterior. É uma criatura muito resistente que irá proliferar rapidamente, mesmo em riachos poluídos."
342,Crawdaunt,468,63,120,85,90,55,55,Water,Dark,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/4992f2e073cfcd56e6a83b7e536dcee7026c8bd0.png,"Loving to battle, this Pokémon pinches all Pokémon that enter its territory with its pincers and throws them out.","Adorando lutar, este Pokémon aperta com suas pinças todos os Pokémon que entram em seu território e os expulsa."
343,Baltoy,300,40,40,55,40,70,55,Ground,Psychic,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/79f506a3da448fb439a46a84b6b9d480614060ca.png,It moves while spinning around on its single foot. Some Baltoy have been seen spinning on their heads.,Ele se move enquanto gira em um único pé. Alguns Baltoy foram vistos girando de cabeça para baixo.
344,Claydol,500,60,70,105,70,120,75,Ground,Psychic,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/a6616b936253c1226245d642c2bd19f4ad9eb273.png,"This mysterious Pokémon started life as an ancient clay figurine made over 20,000 years ago.",Este Pokémon misterioso começou a vida como uma antiga estatueta de argila feita há mais de 20.000 anos.
345,Lileep,355,66,41,77,61,87,23,Rock,Grass,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/c213418116405410589d47a08fcbe12d0d8caffb.png,"In ancient times, it lived in warm seas. It disguised itself as seaweed to ambush its prey and devoured them whole when they got close.","Nos tempos antigos, vivia em mares quentes. Disfarçava-se de alga marinha para emboscar suas presas e as devorava inteiras quando se aproximavam."
346,Cradily,495,86,81,97,81,107,43,Rock,Grass,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/d729e836684b7c7a7ecd60a69f57459a27329e8a.png,"Normally, it lived on shallow sea shoals. When the tide went out, this Pokémon came up on land to search for prey.","Normalmente, vivia em baixios rasos. Quando a maré baixou, este Pokémon veio à terra em busca de uma presa."
347,Anorith,355,45,95,50,40,50,75,Rock,Bug,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/a57102129d4a2459746492364898b93889a4cd6b.png,"When restored Anorith are released into the ocean, they don't thrive, because the water composition has changed since their era.","Quando os Anorith restaurados são lançados no oceano, eles não prosperam, porque a composição da água mudou desde sua época."
348,Armaldo,495,75,125,100,70,80,45,Rock,Bug,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/25568943eadb2ec8b4298f0d9e92b643a74cdb58.png,It lived on land and went out into the sea to hunt for prey. Its sharp claws were its greatest weapon.,Vivia em terra e saía para o mar em busca de presas. Suas garras afiadas eram sua maior arma.
349,Feebas,200,20,15,20,10,55,80,Water,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/33bc0797c597538eb05373ba35b7a2a84038f87f.png,"This tough Pokémon is perfectly fine even in dirty water. However, due to its ragged, shabby appearance, it isn't popular.","Este Pokémon resistente fica perfeitamente bem mesmo em água suja. No entanto, devido à sua aparência esfarrapada e surrada, não é popular."
350,Milotic,540,95,60,79,100,125,81,Water,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/fea142043a53539815b5a08756a010348931350a.png,Its lovely scales are described as rainbow- colored. They change color depending on the viewing angle.,Suas lindas escamas são descritas como da cor do arco-íris. Eles mudam de cor dependendo do ângulo de visão.
351,Castform,420,70,70,70,70,70,70,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/2417d34f6020c9ebcc1bc09f161b78d56eab92e0.png,"Although its form changes with the weather, that is apparently the result of a chemical reaction and not the result of its own free will.","Embora sua forma mude com o clima, isso aparentemente é o resultado de uma reação química e não de sua própria vontade."
352,Kecleon,440,60,90,70,60,120,40,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/ab6201c92f656bc6123c9a759184b4e20c38c95f.png,"It changes its hue to blend into its surroundings. If no one takes notice of it for too long, it will pout and never reveal itself.","Ele muda sua tonalidade para se misturar ao ambiente. Se ninguém prestar atenção nele por muito tempo, ele fará beicinho e nunca se revelará."
353,Shuppet,295,44,75,35,63,33,45,Ghost,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/8b236d327f2aeae5c3f6491ad4b218bb5c2cca3b.png,It loves to feed on feelings like envy and malice. Its upright horn catches the emotions of people.,Adora se alimentar de sentimentos como inveja e malícia. Seu chifre vertical capta as emoções das pessoas.
354,Banette,455,64,115,65,83,63,65,Ghost,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/d79c0c0d438ff5dde2e0d3f7c3fe4fd312c55b38.png,This Pokémon developed from an abandoned doll that amassed a grudge. It is seen in dark alleys.,Este Pokémon se desenvolveu a partir de uma boneca abandonada que guardava rancor. É visto em becos escuros.
354,Mega Banette,555,64,165,75,93,83,75,Ghost,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/695a1c66b0a29e2277aed56c83c02b41065c1b09.png,Extraordinary energy amplifies its cursing power to such an extent that it can't help but curse its own Trainer.,A energia extraordinária amplifica seu poder de maldição a tal ponto que não consegue evitar amaldiçoar seu próprio Treinador.
355,Duskull,295,20,40,90,30,90,25,Ghost,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/14a960a289c7782d6b1f1e21d669e16153fd4004.png,"In the dead of night, these Pokémon wander through towns in search of children, whose vital energy is a Duskull's favorite food.","Na calada da noite, esses Pokémon vagam pelas cidades em busca de crianças, cuja energia vital é a comida favorita de Duskull."
356,Dusclops,455,40,70,130,60,130,25,Ghost,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/6a82e5a5f541702a1f624f24f8d8b65f25002558.png,Dusclops is feared because it's said to pull the soul out of anyone who gazes upon the strange movements of its hands.,Dusclops é temido porque diz-se que arranca a alma de qualquer um que observe os estranhos movimentos de suas mãos.
357,Tropius,460,99,68,83,72,87,51,Grass,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/65685a0773fc5d4182361c4312e992fcb779cf05.png,It lives in tropical jungles. The bunch of fruit around its neck is delicious. The fruit grows twice a year.,Vive em selvas tropicais. O cacho de frutas em volta do pescoço é delicioso. A fruta cresce duas vezes por ano.
358,Chimecho,455,75,50,80,95,90,65,Psychic,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/4509025f08b3748ef1f99a25918992f055efd703.png,It uses the sucker on its head to hang from a tree or from eaves. It can produce seven different tones.,Ele usa a ventosa na cabeça para se pendurar em uma árvore ou em beirais. Pode produzir sete tons diferentes.
359,Absol,465,65,130,60,75,60,75,Dark,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/1eaad86bbb4faf9b3bca77fffadb906ba8180d32.png,"The only thing unlucky about Absol is its appearance. It protects fields and warns people of disaster, so one ought to be grateful for it.","A única coisa que dá azar no Absol é sua aparência. Protege os campos e alerta as pessoas sobre desastres, por isso devemos ser gratos por isso."
359,Mega Absol,565,65,150,60,115,60,115,Dark,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/8628866b4479441fb95dc95b5e055bd7a01c8eec.png,"Normally, it dislikes fighting, so it really hates changing to this form for battles.","Normalmente, ele não gosta de lutar, então realmente odeia mudar para esta forma nas batalhas."
360,Wynaut,260,95,23,48,23,48,23,Psychic,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/e5f3ddbd4b2b4373167af18a564b9a906e3687a7.png,It tends to move in a pack. Individuals squash against one another to toughen their spirits.,Ele tende a se mover em grupo. Os indivíduos se esmagam uns contra os outros para fortalecer o ânimo.
361,Snorunt,300,50,50,50,50,50,50,Ice,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/bfd143df49d01a4dff9172c05baa85bc89d6da55.png,It is said that several Snorunt gather under giant leaves and live together in harmony.,Diz-se que vários Snorunt se reúnem sob folhas gigantes e vivem juntos em harmonia.
362,Glalie,480,80,80,80,80,80,80,Ice,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/341bd41b95b187f828b4be98d1aca6fde684563a.png,"Its prey is instantaneously frozen stiff by the cold air it exhales from its huge mouth. While they’re in that frozen state, it gobbles them up.","Sua presa é instantaneamente congelada pelo ar frio que exala de sua enorme boca. Enquanto eles estão naquele estado congelado, ele os engole."
362,Mega Glalie,580,80,120,80,120,80,100,Ice,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/c65cff51b864d3b37e24832af94c320824e2021d.png,"When it spews stupendously cold air from its broken mouth, the entire area around it gets whited out.","Quando ele vomita ar estupendamente frio de sua boca quebrada, toda a área ao seu redor fica esbranquiçada."
363,Spheal,290,70,40,50,55,50,25,Ice,Water,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/b78c1937ad2d789abb26d2d33dd51a968c63bf1c.png,"Spheal is much faster rolling than walking to get around. When groups of this Pokémon eat, they all clap at once toshow their pleasure. Because of this, their mealtimes are noisy.","Spheal rola muito mais rápido do que caminhar para se locomover. Quando grupos deste Pokémon comem, todos batem palmas ao mesmo tempo para mostrar seu prazer. Por causa disso, a hora das refeições é barulhenta."
364,Sealeo,410,90,60,70,75,70,45,Ice,Water,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/ea5fc37423479f10a042155ab39fef318cf413d5.png,Sealeo has the habit of always juggling on the tip of its noseanything it sees for the first time. This Pokémon occasionallyentertains itself by balancing and rolling a Spheal on its nose.,Sealeo tem o hábito de sempre fazer malabarismos na ponta do nariz com tudo o que vê pela primeira vez. Este Pokémon ocasionalmente se diverte equilibrando-se e rolando um Spheal no nariz.
